,StartStationName,county,city,province
221,长治市汽车客运东站,,长治,山西
222,德惠客运总站,德惠市,长春,吉林
223,铁力市公路客运站,铁力市,伊春,黑龙
224,孙吴县运输有限公司客运站,孙吴县,黑河,黑龙
225,阜宁车站,阜宁县,盐城,江苏
226,常熟东张站,常熟市,苏州,江苏
227,同康村,,,
228,修武县总站,修武县,焦作,河南
229,铁路潮汕站临时汽车客运站,,,
230,珠海市上冲长途汽车客运站,,珠海,广东
231,梅州梅县顺风站,梅县区,梅州,广东
232,临高加来路口,临高县,儋州,海南
233,大足汽车站,大足区,重庆,重庆
234,剑河汽车站,剑河县,黔东,贵州
235,锦屏汽车站,锦屏县,黔东,贵州
236,长春凯旋公路客运站,,长春,吉林
237,武夷客运总站,武夷山市,南平,福建
238,铜川北关客运站,北关区,安阳,河南
239,张掖客运中心,,张掖,甘肃
240,池北区公路客运站,,,
241,220182001,,,
242,230302002,,,
243,海门叠石桥站,海门市,南通,江苏
244,安溪湖头,安溪县,泉州,福建
245,同安,同安区,厦门,福建
246,诗山车站,,,
247,武备,,,
248,寿光总站,寿光市,潍坊,山东
249,泰安小井站,,泰安,山东
250,新密中心站(东),新密市,郑州,河南
251,温县客车站(新站),温县,焦作,河南
252,新郑汽车站,新郑市,郑州,河南
253,韶关汽车客运南站,,韶关,广东
254,惠州市仲恺汽车客运站,,惠州,广东
255,云浮汽车客运站,,云浮,广东
256,韶关仁化汽车客运站,仁化县,韶关,广东
257,周田镇第一招呼站,,,
258,珠海红旗汽车客运站,红旗区,新乡,河南
259,神泉镇第二招呼站,,,
260,福山站,福山区,烟台,山东
261,文昌珠溪桥,文昌市,儋州,海南
262,文昌新美,文昌市,儋州,海南
263,陵水路口,陵水黎族自治县,儋州,海南
264,绵阳南湖汽车站,南湖区,嘉兴,浙江
265,遵义汽车总站,,遵义,贵州
266,南伞汽车客运站,,,
267,宝鸡汽车南站,,宝鸡,陕西
268,神木汽车站,神木市,榆林,陕西
269,海伦市客运站,海伦市,绥化,黑龙
270,红兴隆中心客运站,兴隆台区,盘锦,辽宁
271,江苏信息,,,
272,武义客运中心,武义县,金华,浙江
273,济钢,,,
274,李庄站,,,
275,维也纳酒店高铁南站店,,,
276,云集站,,,
277,新邵汽车站,新邵县,邵阳,湖南
278,佛山市顺德区容桂汽车客运,顺德区,佛山,广东
279,柳州飞蛾综合客运站,,柳州,广西
280,儋州光村,,儋州,海南
281,儋州八一,,儋州,海南
282,琼海东红路口,琼海市,儋州,海南
283,文昌罗豆,文昌市,儋州,海南
284,文昌龙马,龙马潭区,泸州,四川
285,澄迈永发,澄迈县,儋州,海南
286,文昌竹林,文昌市,儋州,海南
287,枫木高速路口,,,
288,三台县旅游汽车站,三台县,绵阳,四川
289,姚安客运站,姚安县,楚雄,云南
290,巴彦淖尔临河汽车站,巴彦县,哈尔,黑龙
291,巴林左旗林东客运站,巴林右旗,赤峰,内蒙
292,福鼎汽车南站,福鼎市,宁德,福建
293,蒲城汽车站,蒲城县,渭南,陕西
294,咸丰汽车站,咸丰县,恩施,湖北
295,若羌客运站,若羌县,巴音,新疆
296,军供客运站,,,
297,临河汽车站,临河区,巴彦,内蒙
298,多伦汽车站,多伦县,锡林,内蒙
299,安图县公路客运总站,安图县,延边,吉林
300,查哈阳农场客运站,,,
301,启东汽车站,启东市,南通,江苏
302,济南总站,,济南,山东
303,济南东站,,济南,山东
304,云阳汽车站,云阳县,重庆,重庆
305,巴东,巴东县,恩施,湖北
306,郁南连滩汽车客运站,郁南县,云浮,广东
307,肇庆四会荔枝湾售票点,四会市,肇庆,广东
308,乐东保国,乐东黎族自治县,儋州,海南
309,广西玉林站,,玉林,广西
310,正安客运站,正安县,遵义,贵州
311,理县旅游客运中心,理县,阿坝,四川
312,南宁安吉客运站,安吉县,湖州,浙江
313,上海中山客运站,中山市,中山,广东
314,福州汽车北站,,福州,福建
315,静宁县客运站,宁县,庆阳,甘肃
316,石首客运中心,石首市,荆州,湖北
317,屏南汽车站,屏南县,宁德,福建
318,京山客运站,京山市,荆门,湖北
319,郧西县客运站,郧西县,十堰,湖北
320,宁陕汽车站,宁陕县,安康,陕西
321,大板汽车站,,,
322,230524002,,,
323,220103004,,,
324,绍兴西站,,绍兴,浙江
325,六安汽车客运南站,,六安,安徽
326,赤水,赤水市,遵义,贵州
327,湖口站,湖口县,九江,江西
328,郑州中心站,,郑州,河南
329,宜昌中心站,,宜昌,湖北
330,汉川,汉川市,孝感,湖北
331,常德汽车南站,,常德,湖南
332,翁源县官渡汽车客运站,官渡区,昆明,云南
333,湛江麻章汽车客运站,麻章区,湛江,广东
334,佛山市南海区西樵汽车客运站,南海区,佛山,广东
335,三亚西站,,三亚,海南
336,广东东莞,东莞市,东莞,广东
337,万宁山根路口,万宁市,儋州,海南
